Vehicle ID,Model,Manufacturer,Transmission Make,Num Passengers,Power System Ids,Fuels,Application Categories,Transmission Types
10826,"Side Loader: DuraPack Python, DuraPack Rapid Rail, Liberty, Rapid Rail",Heil Environmental,"","",[10013],CNG - Compressed Natural Gas,Refuse,""
11268,Side Loader: RevAMP fully electric,Heil Environmental,"","",[],Electric,Refuse,""
11135,L6 Conventional,Hino,Allison,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11136,L7 Conventional,Hino,Allison,"",[10382],Biodiesel (B20),Vocational/Cab Chassis,""
11137,XL7 Conventional,Hino,Allison,"",[10428],Biodiesel (B20),Tractor|Vocational/Cab Chassis,""
11138,XL8 Conventional,Hino,Allison,"",[10428],Biodiesel (B20),Tractor|Vocational/Cab Chassis,""
10949,Carriage ,Hometown Manufacturing,MYD 6-speed automatic,22,[10533],CNG - Compressed Natural Gas|Propane,Passenger Van/Shuttle Bus,""
11183,Commuter,Hometown Manufacturing,"",42,[],Electric,Transit Bus,Automatic
11182,Commuter,Hometown Manufacturing,Allison B400/B400R,42,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11188,Low-Floor Urban,Hometown Manufacturing,Allison B400/B400R,40,[10013],CNG - Compressed Natural Gas,Transit Bus,""
11189,Low-Floor Urban,Hometown Manufacturing,"",40,[],Electric,Transit Bus,""
11184,Mainstreet,Hometown Manufacturing,"Allison B300, B400",40,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
11185,Mainstreet,Hometown Manufacturing,"",40,[],Electric,Passenger Van/Shuttle Bus,""
11187,Streetcar,Hometown Manufacturing,"",40,[],Electric,Passenger Van/Shuttle Bus,""
11186,Streetcar,Hometown Manufacturing,"Allison B300, B400",40,[10013],CNG - Compressed Natural Gas,Passenger Van/Shuttle Bus,""
10915,Streetcar,Hometown Manufacturing,"Allison B300, B400",40,[10382],Diesel/Hybrid Electric,Passenger Van/Shuttle Bus,""
11181,View,Hometown Manufacturing,"",42,"[10565, 10566]",Electric,Transit Bus,""
